         28322 function calls (27291 primitive calls) in 0.970 seconds

   Ordered by: cumulative time
   List reduced from 133 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.970    0.048 mcp_tool_calls.py:944(tool_call_risk_categories)
       20    0.002    0.000    0.969    0.048 mcp_tool_calls.py:968(_tool_call_risk_category_set)
      600    0.001    0.000    0.676    0.001 __init__.py:174(search)
      140    0.000    0.000    0.675    0.005 mcp_tool_calls.py:1091(_matches_any)
      166    0.001    0.000    0.675    0.004 {built-in method builtins.any}
      520    0.001    0.000    0.674    0.001 mcp_tool_calls.py:1092(<genexpr>)
      600    0.660    0.001    0.660    0.001 {method 'search' of 're.Pattern' objects}
       20    0.194    0.010    0.195    0.010 mcp_tool_calls.py:1078(_contains_ip_address)
      100    0.000    0.000    0.071    0.001 mcp_tool_calls.py:1577(_risk_match_text)
      180    0.000    0.000    0.069    0.000 __init__.py:179(sub)
      120    0.000    0.000    0.068    0.001 mcp_tool_calls.py:1581(_camel_token_normalized)
      180    0.067    0.000    0.068    0.000 {method 'sub' of 're.Pattern' objects}
      820    0.002    0.000    0.018    0.000 __init__.py:280(_compile)
       33    0.000    0.000    0.014    0.000 _compiler.py:745(compile)
       20    0.000    0.000    0.012    0.001 mcp_tool_calls.py:1069(_serialized_tool_arguments)
       20    0.000    0.000    0.011    0.001 __init__.py:183(dumps)
       20    0.000    0.000    0.011    0.001 encoder.py:183(encode)
       20    0.011    0.001    0.011    0.001 encoder.py:205(iterencode)
       33    0.000    0.000    0.007    0.000 _compiler.py:578(_code)
       33    0.000    0.000    0.006    0.000 _parser.py:969(parse)
    76/33    0.001    0.000    0.006    0.000 _parser.py:452(_parse_sub)
   142/33    0.002    0.000    0.006    0.000 _compiler.py:37(_compile)
   113/33    0.002    0.000    0.005    0.000 _parser.py:512(_parse)
       80    0.000    0.000    0.005    0.000 mcp_tool_calls.py:1095(_token_pattern)
      103    0.000    0.000    0.004    0.000 {method 'join' of 'str' objects}
      380    0.000    0.000    0.004    0.000 mcp_tool_calls.py:1096(<genexpr>)
       20    0.000    0.000    0.004    0.000 mcp_tool_calls.py:1335(_description_risk_categories)
      300    0.001    0.000    0.004    0.000 __init__.py:255(escape)
       20    0.000    0.000    0.003    0.000 browser_mcp_intent.py:472(normalize_browser_mcp_intent)
       20    0.000    0.000    0.003    0.000 browser_mcp_intent.py:436(is_browser_mcp_server)



