         16527 function calls (15901 primitive calls) in 0.185 seconds

   Ordered by: cumulative time
   List reduced from 129 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.001    0.000    0.184    0.009 mcp_tool_calls.py:945(tool_call_risk_categories)
       20    0.007    0.000    0.183    0.009 mcp_tool_calls.py:969(_tool_call_risk_category_set)
      140    0.002    0.000    0.115    0.001 mcp_tool_calls.py:1141(_matches_any)
      320    0.003    0.000    0.113    0.000 {built-in method builtins.any}
     1440    0.110    0.000    0.110    0.000 mcp_tool_calls.py:1144(<genexpr>)
       20    0.001    0.000    0.017    0.001 mcp_tool_calls.py:1099(_serialized_tool_arguments)
       20    0.001    0.000    0.016    0.001 __init__.py:183(dumps)
       20    0.000    0.000    0.015    0.001 encoder.py:183(encode)
       20    0.014    0.001    0.014    0.001 encoder.py:205(iterencode)
      100    0.000    0.000    0.012    0.000 mcp_tool_calls.py:1635(_risk_match_text)
      120    0.000    0.000    0.009    0.000 mcp_tool_calls.py:1639(_camel_token_normalized)
      120    0.008    0.000    0.008    0.000 {method 'islower' of 'str' objects}
       20    0.005    0.000    0.007    0.000 mcp_tool_calls.py:1108(_contains_ip_address)
       20    0.000    0.000    0.005    0.000 browser_mcp_intent.py:472(normalize_browser_mcp_intent)
      400    0.001    0.000    0.005    0.000 __init__.py:280(_compile)
       20    0.001    0.000    0.005    0.000 browser_mcp_intent.py:436(is_browser_mcp_server)
       20    0.000    0.000    0.005    0.000 mcp_tool_calls.py:1212(_schema_risk_categories)
       20    0.001    0.000    0.004    0.000 mcp_tool_calls.py:1158(_argument_key_risk_categories)
   560/20    0.002    0.000    0.004    0.000 mcp_tool_calls.py:1241(_schema_property_key_names)
      300    0.000    0.000    0.004    0.000 __init__.py:174(search)
     2896    0.002    0.000    0.004    0.000 {built-in method builtins.isinstance}
       20    0.000    0.000    0.003    0.000 pathlib.py:583(name)
      200    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
       20    0.001    0.000    0.003    0.000 pathlib.py:569(_tail)
       17    0.000    0.000    0.003    0.000 _compiler.py:745(compile)
       20    0.001    0.000    0.003    0.000 mcp_tool_calls.py:1630(_tool_name_tokens)
       20    0.001    0.000    0.002    0.000 pathlib.py:407(_load_parts)
       20    0.000    0.000    0.002    0.000 mcp_tool_calls.py:1393(_description_risk_categories)
       20    0.001    0.000    0.002    0.000 mcp_tool_calls.py:1189(_argument_key_names)
       20    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}



